--------- beginning of system
11-09 01:42:12.516  7447 14782 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.livegame.wallpapermingche at: Binary XML file line #105
11-09 01:42:35.958  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.qiuqiu.dfmc requires a permissions review
11-09 01:42:35.958  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.qiuqiu.dfmc/cn.jpush.android.service.PushReceiver
11-09 01:42:35.958  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.safesys.viruskiller requires a permissions review
11-09 01:42:35.958  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.safesys.viruskiller/.ScanPackageBroadcast
11-09 01:42:35.958  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.uc108.mobile.sdgj.bd1 requires a permissions review
11-09 01:42:35.958  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.uc108.mobile.sdgj.bd1/com.baidu.tiebasdk.service.InstallReceiver
11-09 01:42:35.958  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.voicebianshengjinglingwc.wxl requires a permissions review
11-09 01:42:35.958  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.voicebianshengjinglingwc.wxl/mp.ruu.Ztjjwrj
11-09 01:42:35.958  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.yoojar.zlsg.baidu requires a permissions review
11-09 01:42:35.958  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.yoojar.zlsg.baidu/com.duoku.platform.download.broadcast.AppMonitorReceiver
11-09 01:42:35.958  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packageio.dcloud.H5BC6BF13 requires a permissions review
11-09 01:42:35.959  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to io.dcloud.H5BC6BF13/io.dcloud.common.adapter.io.DownloadReceiver
11-09 01:42:35.975  1460  1460 V BackupManagerConstants: getFullBackupIntervalMilliseconds(...) returns 86400000
11-09 01:42:35.975  1460  1460 V BackupManagerConstants: getFullBackupRequiredNetworkType(...) returns 2
11-09 01:42:35.975  1460  1460 V BackupManagerConstants: getFullBackupRequireCharging(...) returns true
11-09 01:42:35.977  1460  1460 I NotificationService: Cannot find enqueued record for key: 0|com.google.android.apps.wellbeing|174344743|null|10120
11-09 01:42:36.007  1460  3561 D CompatibilityChangeReporter: Compat change id reported: 161252188; UID 10270; state: DISABLED
11-09 01:42:36.012  1460  1460 I Telecom : DefaultDialerCache: Refreshing default dialer for user 0: now com.google.android.dialer: DDC.oR@BPc
11-09 01:42:36.014  1460  1829 E VerityUtils: Failed to measure fs-verity, errno 1: /data/app/~~KBhl6TxDbJxVEvvqNv8itA==/slam.cross.educate-mghtKpJB_0lX1voHYEH6WA==/base.apk
11-09 01:42:36.024  1460  1693 W WindowMagnificationMgr: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
11-09 01:42:36.051  1460  4154 W BackupTransportManager: Package slam.cross.educate enabled setting: 0
11-09 01:42:36.068  1460  1693 W PackageManager: Failed registering loading progress callback. Package is fully loaded.
11-09 01:42:36.079  1460  1693 W WindowMagnificationMgr: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
11-09 01:42:36.146  1460  5539 W BroadcastQueue: u0 Receiving a broadcast in packagecom.yoojar.zlsg.baidu requires a permissions review
11-09 01:42:36.146  1460  5539 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_CHANGED dat=package: flg=0x5000010 (has extras) } from null (pid=1460, uid=1000) to com.yoojar.zlsg.baidu/com.duoku.platform.download.broadcast.AppMonitorReceiver
11-09 01:42:36.367  1460  1836 E PackageManager: ERROR: could not load root hash from incremental install
11-09 01:42:36.379  1460  1836 I PackageManager: Integrity check passed for file:///data/app/vmdl499101519.tmp
11-09 01:42:36.473  1460  1676 V StorageManagerService: Package null has legacy storage
11-09 01:42:36.477  1460  1836 V BackupManagerService: [UserID:0] restoreAtInstall pkg=ermmmug.hxkkytzb.bvbfc token=50 restoreSet=0
11-09 01:42:36.477  1460  1836 V BackupManagerService: [UserID:0] Finishing install immediately
11-09 01:42:36.478  1460  1836 D PackageInstallerSession: Marking session 499101519 as applied
11-09 01:42:36.480  1460  1836 D CompatibilityChangeReporter: Compat change id reported: 168419799; UID 10271; state: DISABLED
11-09 01:42:36.480  1460  1836 D CompatibilityChangeReporter: Compat change id reported: 273564678; UID 10271; state: DISABLED
11-09 01:42:36.490  1460  2908 D CompatibilityChangeReporter: Compat change id reported: 218533173; UID 10271; state: DISABLED
11-09 01:42:36.495  1460  1460 I Telecom : DefaultDialerCache: Refreshing default dialer for user 0: now com.google.android.dialer: DDC.oR@BP4
11-09 01:42:36.514  1460  5531 W BroadcastQueue: u0 Receiving a broadcast in packagecom.jr.narutoii requires a permissions review
11-09 01:42:36.515  1460  5531 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.jr.narutoii/com.joyriver.engine.proxy.EngineReceiver
11-09 01:42:36.521  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.android.buyer requires a permissions review
11-09 01:42:36.521  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.android.buyer/.mRve
11-09 01:42:36.521  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.packageinstaller/com.android.packageinstaller.PackageInstalledReceiver
11-09 01:42:36.521  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemonitor.impl.PackageMonitorReceiverImpl$RegisteredReceiver
11-09 01:42:36.521  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemonitor.backgroundimpl.BackgroundPackageMonitorReceiverImpl$RegisteredReceiver
11-09 01:42:36.521  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.games.chimera.GamesSystemBroadcastReceiverProxy
11-09 01:42:36.521  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.gass.chimera.PackageChangeBroadcastReceiver
11-09 01:42:36.521  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.chimera.GmsIntentOperationService$PersistentTrustedReceiver
11-09 01:42:36.521  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.googlequicksearchbox/com.google.android.apps.gsa.googlequicksearchbox.GelStubAppWatcher
11-09 01:42:36.521  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.cncd.japan.janli.shudu requires a permissions review
11-09 01:42:36.521  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.cncd.japan.janli.shudu/net.l.k.r
11-09 01:42:36.521  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.cncd.japan.janli.shudu requires a permissions review
11-09 01:42:36.521  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.cncd.japan.janli.shudu/com.feiwofour.coverscreen.SR
11-09 01:42:36.521  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.games.mengmeizhitd requires a permissions review
11-09 01:42:36.521  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.games.mengmeizhitd/hjnw.ihjnw.i.isqly
11-09 01:42:36.521  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.hgperfko.yaeghrwx requires a permissions review
11-09 01:42:36.521  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.hgperfko.yaeghrwx/.core.hLytdCQDBv
11-09 01:42:36.522  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.qiuqiu.dfmc requires a permissions review
11-09 01:42:36.522  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.qiuqiu.dfmc/cn.jpush.android.service.PushReceiver
11-09 01:42:36.522  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.safesys.viruskiller requires a permissions review
11-09 01:42:36.522  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.safesys.viruskiller/.ScanPackageBroadcast
11-09 01:42:36.522  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.uc108.mobile.sdgj.bd1 requires a permissions review
11-09 01:42:36.522  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.uc108.mobile.sdgj.bd1/com.baidu.tiebasdk.service.InstallReceiver
11-09 01:42:36.522  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.voicebianshengjinglingwc.wxl requires a permissions review
11-09 01:42:36.522  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.voicebianshengjinglingwc.wxl/mp.ruu.Ztjjwrj
11-09 01:42:36.522  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.yoojar.zlsg.baidu requires a permissions review
11-09 01:42:36.522  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.yoojar.zlsg.baidu/com.duoku.platform.download.broadcast.AppMonitorReceiver
11-09 01:42:36.522  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packageio.dcloud.H5BC6BF13 requires a permissions review
11-09 01:42:36.522  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to io.dcloud.H5BC6BF13/io.dcloud.common.adapter.io.DownloadReceiver
11-09 01:42:36.539  1460  1460 I Telecom : DefaultDialerCache: Refreshing default dialer for user 0: now com.google.android.dialer: DDC.oR@BP8
11-09 01:42:36.539  1460  4154 W BackupTransportManager: Package ermmmug.hxkkytzb.bvbfc enabled setting: 0
11-09 01:42:36.580  1460  1693 W WindowMagnificationMgr: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
11-09 01:42:36.599  1460  5539 D CompatibilityChangeReporter: Compat change id reported: 161252188; UID 10271; state: DISABLED
11-09 01:42:36.604  1460  1829 E VerityUtils: Failed to measure fs-verity, errno 1: /data/app/~~QEurxH9MrHRCM0HpSAqgrg==/ermmmug.hxkkytzb.bvbfc-iD7BhPOvvVKX1UGVRncMEg==/base.apk
11-09 01:42:36.687  1460  2979 W BroadcastQueue: u0 Receiving a broadcast in packagecom.yoojar.zlsg.baidu requires a permissions review
11-09 01:42:36.687  1460  2979 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_CHANGED dat=package: flg=0x5000010 (has extras) } from null (pid=1460, uid=1000) to com.yoojar.zlsg.baidu/com.duoku.platform.download.broadcast.AppMonitorReceiver
11-09 01:42:36.742  1460  1693 W PackageManager: Failed registering loading progress callback. Package is fully loaded.
11-09 01:42:36.744  1460  1836 E PackageManager: ERROR: could not load root hash from incremental install
11-09 01:42:36.760  1460  2032 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_BOOT_COMPLETED in package: qtggtfpiydqiikhbndreqabpjlb.deupxo.orrsdcgrckebmqzu at: Binary XML file line #22
11-09 01:42:36.777  1460  1836 I PackageManager: Integrity check passed for file:///data/app/vmdl1177008856.tmp
11-09 01:42:36.780  1460  1693 W WindowMagnificationMgr: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
11-09 01:42:36.796  1460  1836 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_BOOT_COMPLETED in package: qtggtfpiydqiikhbndreqabpjlb.deupxo.orrsdcgrckebmqzu at: Binary XML file line #22
11-09 01:42:36.897  1460  1676 V StorageManagerService: Package null has legacy storage
11-09 01:42:37.009  1460  5573 W AppOps  : setUidMode() called with a mode inconsistent with runtime permission state, this is discouraged and you should revoke the runtime permission instead: uid=10126, switchCode=0, mode=4, permission=android.permission.ACCESS_BACKGROUND_LOCATION
11-09 01:42:37.155  1460  5781 W AppOps  : setUidMode() called with a mode inconsistent with runtime permission state, this is discouraged and you should revoke the runtime permission instead: uid=10126, switchCode=1, mode=4, permission=android.permission.ACCESS_BACKGROUND_LOCATION
11-09 01:42:37.159  1460  5781 W AppOps  : setUidMode() called with a mode inconsistent with runtime permission state, this is discouraged and you should revoke the runtime permission instead: uid=10126, switchCode=0, mode=4, permission=android.permission.ACCESS_BACKGROUND_LOCATION
11-09 01:42:37.334  1460  2024 I ActivityManager: Background started FGS: Allowed [callingPackage: com.google.android.apps.wellbeing; callingUid: 10120; uidState: BFGS; intent: Intent { cmp=com.google.android.apps.wellbeing/com.google.apps.tiktok.concurrent.InternalForegroundService (has extras) }; code:BACKGROUND_ACTIVITY_PERMISSION; tempAllowListReason:<null>; targetSdkVersion:33; callerTargetSdkVersion:33; startForegroundCount:0; bindFromPackage:null]
11-09 01:42:37.348  1460  5532 D OomAdjuster: Not killing cached processes
11-09 01:42:37.383  1460  1836 V BackupManagerService: [UserID:0] restoreAtInstall pkg=qtggtfpiydqiikhbndreqabpjlb.deupxo.orrsdcgrckebmqzu token=51 restoreSet=0
11-09 01:42:37.384  1460  1836 V BackupManagerService: [UserID:0] Finishing install immediately
11-09 01:42:37.393  1460  1836 D PackageInstallerSession: Marking session 1177008856 as applied
11-09 01:42:37.397  1460  1836 D CompatibilityChangeReporter: Compat change id reported: 168419799; UID 10272; state: DISABLED
11-09 01:42:37.397  1460  1836 D CompatibilityChangeReporter: Compat change id reported: 273564678; UID 10272; state: DISABLED
11-09 01:42:37.404  1460  2908 D CompatibilityChangeReporter: Compat change id reported: 218533173; UID 10272; state: DISABLED
11-09 01:42:37.414  1460  1460 I Telecom : DefaultDialerCache: Refreshing default dialer for user 0: now com.google.android.dialer: DDC.oR@BQY
11-09 01:42:37.414  7447  7447 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_BOOT_COMPLETED in package: qtggtfpiydqiikhbndreqabpjlb.deupxo.orrsdcgrckebmqzu at: Binary XML file line #22
11-09 01:42:37.415  7447 11747 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_BOOT_COMPLETED in package: qtggtfpiydqiikhbndreqabpjlb.deupxo.orrsdcgrckebmqzu at: Binary XML file line #22
11-09 01:42:37.425  1460  1460 V BackupManagerConstants: getFullBackupIntervalMilliseconds(...) returns 86400000
11-09 01:42:37.425  1460  1460 V BackupManagerConstants: getFullBackupRequiredNetworkType(...) returns 2
11-09 01:42:37.425  1460  1460 V BackupManagerConstants: getFullBackupRequireCharging(...) returns true
11-09 01:42:37.453  1460  5527 W BroadcastQueue: u0 Receiving a broadcast in packagecom.jr.narutoii requires a permissions review
11-09 01:42:37.453  1460  5527 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.jr.narutoii/com.joyriver.engine.proxy.EngineReceiver
11-09 01:42:37.456  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.android.buyer requires a permissions review
11-09 01:42:37.456  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.android.buyer/.mRve
11-09 01:42:37.456  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.packageinstaller/com.android.packageinstaller.PackageInstalledReceiver
11-09 01:42:37.456  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemonitor.impl.PackageMonitorReceiverImpl$RegisteredReceiver
11-09 01:42:37.456  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemonitor.backgroundimpl.BackgroundPackageMonitorReceiverImpl$RegisteredReceiver
11-09 01:42:37.456  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.games.chimera.GamesSystemBroadcastReceiverProxy
11-09 01:42:37.457  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.gass.chimera.PackageChangeBroadcastReceiver
11-09 01:42:37.457  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.chimera.GmsIntentOperationService$PersistentTrustedReceiver
11-09 01:42:37.457  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.googlequicksearchbox/com.google.android.apps.gsa.googlequicksearchbox.GelStubAppWatcher
11-09 01:42:37.457  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.cncd.japan.janli.shudu requires a permissions review
11-09 01:42:37.457  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.cncd.japan.janli.shudu/net.l.k.r
11-09 01:42:37.457  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.cncd.japan.janli.shudu requires a permissions review
11-09 01:42:37.457  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.cncd.japan.janli.shudu/com.feiwofour.coverscreen.SR
11-09 01:42:37.457  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.games.mengmeizhitd requires a permissions review
11-09 01:42:37.457  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.games.mengmeizhitd/hjnw.ihjnw.i.isqly
11-09 01:42:37.457  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.hgperfko.yaeghrwx requires a permissions review
11-09 01:42:37.457  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.hgperfko.yaeghrwx/.core.hLytdCQDBv
11-09 01:42:37.457  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.qiuqiu.dfmc requires a permissions review
11-09 01:42:37.457  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.qiuqiu.dfmc/cn.jpush.android.service.PushReceiver
11-09 01:42:37.458  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.safesys.viruskiller requires a permissions review
11-09 01:42:37.458  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.safesys.viruskiller/.ScanPackageBroadcast
11-09 01:42:37.458  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.uc108.mobile.sdgj.bd1 requires a permissions review
11-09 01:42:37.458  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.uc108.mobile.sdgj.bd1/com.baidu.tiebasdk.service.InstallReceiver
11-09 01:42:37.458  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.voicebianshengjinglingwc.wxl requires a permissions review
11-09 01:42:37.458  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.voicebianshengjinglingwc.wxl/mp.ruu.Ztjjwrj
11-09 01:42:37.458  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.yoojar.zlsg.baidu requires a permissions review
11-09 01:42:37.458  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.yoojar.zlsg.baidu/com.duoku.platform.download.broadcast.AppMonitorReceiver
11-09 01:42:37.458  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packageio.dcloud.H5BC6BF13 requires a permissions review
11-09 01:42:37.458  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to io.dcloud.H5BC6BF13/io.dcloud.common.adapter.io.DownloadReceiver
11-09 01:42:37.485  1460  2977 D CompatibilityChangeReporter: Compat change id reported: 161252188; UID 10272; state: DISABLED
11-09 01:42:37.503  1460  1829 E VerityUtils: Failed to measure fs-verity, errno 1: /data/app/~~Ez6MsN3gPRnkZxiM4qU7hg==/qtggtfpiydqiikhbndreqabpjlb.deupxo.orrsdcgrckebmqzu-UZuQB9wRvWQDQZ9oITg7gQ==/base.apk
11-09 01:42:37.519  1460  1460 I Telecom : DefaultDialerCache: Refreshing default dialer for user 0: now com.google.android.dialer: DDC.oR@BQ0
11-09 01:42:37.549  1460  1460 I NotificationService: Cannot find enqueued record for key: 0|com.google.android.apps.wellbeing|174344743|null|10120
11-09 01:42:37.572  1460  1693 W WindowMagnificationMgr: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
11-09 01:42:37.572  1460  4154 W BackupTransportManager: Package qtggtfpiydqiikhbndreqabpjlb.deupxo.orrsdcgrckebmqzu enabled setting: 0
11-09 01:42:37.577  7447 15910 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_BOOT_COMPLETED in package: qtggtfpiydqiikhbndreqabpjlb.deupxo.orrsdcgrckebmqzu at: Binary XML file line #22
11-09 01:42:37.580  7447  7447 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_BOOT_COMPLETED in package: qtggtfpiydqiikhbndreqabpjlb.deupxo.orrsdcgrckebmqzu at: Binary XML file line #22
11-09 01:42:37.634  1460  3758 W BroadcastQueue: u0 Receiving a broadcast in packagecom.yoojar.zlsg.baidu requires a permissions review
11-09 01:42:37.634  1460  3758 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_CHANGED dat=package: flg=0x5000010 (has extras) } from null (pid=1460, uid=1000) to com.yoojar.zlsg.baidu/com.duoku.platform.download.broadcast.AppMonitorReceiver
11-09 01:42:37.644  1460  1693 W PackageManager: Failed registering loading progress callback. Package is fully loaded.
11-09 01:42:37.682  1460  1836 E PackageManager: ERROR: could not load root hash from incremental install
11-09 01:42:37.686  1460  2032 W PackageParsing: Unknown element under <manifest>: meta-data at /data/app/vmdl1281294813.tmp/base.apk Binary XML file line #6
11-09 01:42:37.698  1460  1693 W WindowMagnificationMgr: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
11-09 01:42:37.707  1460  1836 I PackageManager: Integrity check passed for file:///data/app/vmdl1281294813.tmp
11-09 01:42:37.762  1460  1836 W PackageParsing: Unknown element under <manifest>: meta-data at /data/app/vmdl1281294813.tmp/base.apk Binary XML file line #6
11-09 01:42:37.924  1460  5781 W AppOps  : setUidMode() called with a mode inconsistent with runtime permission state, this is discouraged and you should revoke the runtime permission instead: uid=10126, switchCode=0, mode=4, permission=android.permission.ACCESS_BACKGROUND_LOCATION
11-09 01:42:38.061  1460  5781 W AppOps  : setUidMode() called with a mode inconsistent with runtime permission state, this is discouraged and you should revoke the runtime permission instead: uid=10126, switchCode=1, mode=4, permission=android.permission.ACCESS_BACKGROUND_LOCATION
11-09 01:42:38.064  1460  1581 W AppOps  : setUidMode() called with a mode inconsistent with runtime permission state, this is discouraged and you should revoke the runtime permission instead: uid=10126, switchCode=0, mode=4, permission=android.permission.ACCESS_BACKGROUND_LOCATION
11-09 01:42:38.102  1460  1836 V BackupManagerService: [UserID:0] restoreAtInstall pkg=com.agxshi1893.bis1893hxg token=52 restoreSet=0
11-09 01:42:38.103  1460  1836 V BackupManagerService: [UserID:0] Finishing install immediately
11-09 01:42:38.107  1460  1836 D PackageInstallerSession: Marking session 1281294813 as applied
11-09 01:42:38.111  1460  1836 D CompatibilityChangeReporter: Compat change id reported: 168419799; UID 10273; state: DISABLED
11-09 01:42:38.111  1460  1836 D CompatibilityChangeReporter: Compat change id reported: 273564678; UID 10273; state: DISABLED
11-09 01:42:38.116  1460  2908 D CompatibilityChangeReporter: Compat change id reported: 218533173; UID 10273; state: DISABLED
11-09 01:42:38.119  7447  7447 W PackageParser: Unknown element under <manifest>: meta-data at /data/app/~~045HHkQUwaVFWGq7TJKc4A==/com.agxshi1893.bis1893hxg-ShVUNwWchFyJh1KWWz3bgA==/base.apk Binary XML file line #6
